"taId","studentId","name","email","courses","skillTags","contact","password","username","resumePath"
"TA-1773794697436","123","li","123@","java","Java","123456","11a086c2a545efa05b0aeb516f7d577c","",""
"TA-1773794824261","1234567","丽丽","123@","EDt","Java","1234","11a086c2a545efa05b0aeb516f7d577c","",""
"TA-1773796081821","12345678","123","123@","123123","Java","123","11a086c2a545efa05b0aeb516f7d577c","",""
"TA-1773797317226","2023213143","zhang","123@","yuj","Java,English","123456","11a086c2a545efa05b0aeb516f7d577c","",""
"TA-1774708687052","2023213109","li","123@","java","Java,English","1235445","","",""
"TA-1774709332557","1245646","li","135441@","567","Java,English","21234","","",""
"TA-1774710531333","12346","li","123@","hii","Java","123","","",""
"TA-1774710930922","1256465","li","ljy@","java","Java","1453657","","",""
"TA-1774711224028","1212","li","1234@","java","Java","1234","","",""
"TA-1774711634553","1243254","li","3435@","","Java","","","",""
"TA-1774711900195","1342","li","231@","","Java","","","",""
"TA-1774713462607","13176","","353@","","Java","","","li",""
"TA-1774713746306","123424","li","2334@","","Java","","","lijing",""
