username,password,role
mo,123456,MO
a,1,Admin
li,123456,TA
lijing,123456,TA
hm,111111,MO
yn,111111,TA
huang,123456,MO
jing,123456,TA
zhi,123456,Admin
yu,123456,TA
yi,123456,TA
ZHIGG,123456,TA
w1,123456,TA
y1,123456,TA
admin1,123456,Admin
admin,123456,Admin
ta1,333333,TA
MO,333333,MO
Admin 001,123456,Admin
admin001,123456,Admin
TA1,111111,TA
TA001,111111,TA
yi2,123456,Admin
jing1,123456,TA
yuii,123456,TA
yuiii,123456,TA
yuiiii,123456,TA
yytiu,123456,MO
yyti,123456,TA
yiu,123456,Admin
huhg,123456,TA
165,12343565564,TA
1,123456,TA
